Animal_ID,BB_11mm_distance,BB_11mm_velocity,BB_5mm_distance,BB_5mm_velocity
309_31week,122.392,1.09789,97.3466,4.00933
310_31week,117.692,1.18355,90.9282,4.61097
311_31week,,,34.2663,0.315528
312_31week,149.109,3.50679,81.2421,4.8941
313_31week,58.5929,0.528817,38.6257,0.356589
314_31week,117.874,1.05736,79.9868,4.13155
315_31week,108.322,0.975174,,
316_31week,,,106.916,2.94696
317_31week,77.5507,3.48073,115.111,4.94461
318_31week,90.4289,3.11824,109.923,6.0664
319_31week,159.021,2.68617,100.937,5.16036
320_31week,99.3156,0.889606,103.462,4.68579
321_31week,,,82.7317,4.77666
322_31week,106.296,0.974117,88.4373,4.69412
323_31week,93.589,0.856102,44.1489,0.370625
324_31week,70.3338,2.56693,106.384,4.33158
325_31week,56.7777,4.11433,103.82,4.42917
326_31week,111.524,0.992562,99.0731,4.07373
327_31week,66.5907,0.594136,84.8568,0.864123
328_31week,61.216,2.81842,87.9756,3.64138
329_31week,129.275,1.09704,102.602,4.02675
330_31week,69.1597,3.26225,81.9629,4.75423
331_31week,66.5678,0.562418,40.9378,0.365646
332_31week,86.3966,0.735415,63.2013,0.582178
333_31week,137.288,3.77996,82.4784,5.58797
334_31week,117.577,1.12234,79.7885,4.15565
335_31week,138.536,4.21853,78.0782,6.11898
336_31week,45.4296,5.09301,82.9183,5.26131
337_31week,111.023,1.72932,76.3289,5.11588
338_31week,47.4671,4.84358,74.5975,6.09457
339_31week,149.169,2.87085,80.2086,5.9502
340_31week,59.1774,4.68175,79.8568,7.39415
341_31week,106.248,0.902551,156.584,1.41372
342_31week,48.2089,4.41474,79.4445,6.34541
343_31week,90.8053,0.762813,240.627,2.18355
344_31week,115.535,0.973174,53.8578,0.483116
345_31week,84.8537,3.68289,120.865,3.40658
346_31week,69.957,2.3507,85.4157,5.29874
347_31week,113.521,0.968607,85.6752,0.865756
348_31week,91.6712,0.84474,106.448,0.962806
349_31week,56.1269,3.53444,119.041,4.38297
350_31week,72.7146,2.88093,96.0287,4.24906
351_31week,40.2528,8.75062,80.5329,5.20239
352_31week,171.306,2.08604,84.564,4.29695
353_31week,54.2993,0.49381,43.5297,0.422291
354_31week,108.914,0.997384,87.9556,3.23842
355_31week,42.542,5.68743,77.9837,8.90224
356_31week,90.7118,2.3,76.7325,4.19762
357_31week,122.558,1.1699,75.8972,5.51578
358_31week,,,50.6562,0.464225
359_31week,115.102,1.05212,73.4432,0.684593
360_31week,166.618,1.49999,80.8068,5.75547
361_31week,53.1751,3.98017,104.951,5.12455
362_31week,43.4508,3.74576,81.6585,4.55684
363_31week,69.7904,2.44707,77.908,5.42535
364_31week,59.9255,3.25682,79.2938,4.25396
365_31week,172.808,4.35503,84.2809,5.02869
366_31week,39.8355,4.63203,78.8444,4.95254
367_31week,147.412,1.33914,92.8218,3.64293
368_31week,83.8949,0.767145,43.3058,0.413697
369_31week,48.7456,3.60545,97.4165,3.9408
370_31week,46.8718,6.29998,83.1539,5.38562
371_31week,151.529,3.22129,84.1547,5.95997
372_31week,166.935,2.98311,80.2974,5.21412
374_31week,153.164,2.90744,88.5996,4.2678
375_31week,64.1854,3.79346,86.0194,4.24159
376_31week,150.42,3.64037,83.5362,5.84988
377_31week,142.513,4.09991,95.7618,4.75953
378_31week,99.7563,0.852327,66.2102,0.559397
379_31week,61.9119,3.67648,96.3126,6.33636
380_31week,77.7631,2.84638,94.0878,6.72056
381_31week,104.611,0.94244,129.691,3.24877
382_31week,160.961,2.90125,98.5464,5.13262
383_31week,53.7743,4.2678,89.1209,5.68373
384_31week,77.8375,2.87011,97.9767,4.56981
385_31week,58.2452,4.01138,80.5024,4.61596
386_31week,49.4599,3.55315,93.895,4.53161
387_31week,136.066,3.49605,86.1144,7.37281
388_31week,138.594,3.39692,78.6425,6.03087
389_31week,64.2124,2.8769,78.5606,6.86719
390_31week,213.997,3.31881,82.4472,5.42416
391_31week,79.2818,3.23864,100.156,3.9556
392_31week,63.6496,3.64128,79.0444,6.52181
393_31week,74.5871,3.29448,85.5978,5.083
394_31week,185.032,1.75486,86.8862,5.32391
395_31week,45.4732,5.62788,83.4829,5.87908
396_31week,57.9225,3.35199,80.4094,9.09608
397_31week,47.7162,4.29102,81.6583,5.16825
398_31week,151.95,4.36136,79.145,8.64028
399_31week,138.808,4.5781,82.3918,5.85169
400_31week,45.9784,3.99118,76.1041,7.20683
401_31week,181.392,2.79064,88.5356,4.78054
402_31week,219.951,2.17601,87.922,5.73904
403_31week,48.3792,4.61634,86.1585,5.66832
404_31week,136.522,4.58743,82.9693,4.95044
405_31week,85.7916,2.60606,95.5761,4.8664
406_31week,118.143,1.06975,89.9482,5.43165
407_31week,73.1261,0.667209,60.8482,0.550762
408_31week,139.102,4.01101,97.1779,4.36951
409_31week,,,88.6206,5.93972
410_31week,64.2969,3.328,75.8581,8.35442
411_31week,130.785,4.96903,80.4118,7.41806
412_31week,44.7306,4.8201,86.0758,7.60387
413_31week,41.9235,5.32024,87.9992,5.17642
414_31week,130.042,4.80925,91.4462,5.24348
415_31week,49.3887,4.18548,79.7603,5.66479
416_31week,139.893,4.82389,76.0383,10.4448
417_31week,67.2471,3.59995,85.6839,4.42582
418_31week,151.062,3.83795,79.6939,5.6281
419_31week,97.5014,0.886376,153.924,1.41111
420_31week,37.3022,11.6569,73.0547,10.8069
421_31week,46.7081,3.91846,78.07,7.4211
422_31week,39.1157,7.58056,79.3979,7.7537
423_31week,135.039,3.8233,75.1576,7.45612
424_31week,47.5032,5.65515,80.3036,6.75956
425_31week,43.2531,5.48897,79.1404,5.45044
427_31week,39.9616,5.67637,82.815,4.40505
428_31week,144.845,3.7878,80.2917,7.4899
