Animal_ID,NOR_Day3_Left,NOR_Day3_Right,NOR_Day3_TotalTime,NOR_Day3_per_Left,NOR_Day3_per_Right,NOR_Day4_3min_Nov,NOR_Day4_3min_Fam,NOR_Day4_3min_Totaltime,NOR_Day4_3min_per_Nov,NOR_Day4_3min_per_Fam,NOR_Day4_3min_DI,NOR_Day4_5min_Nov,NOR_Day4_5min_Fam,NOR_Day4_5min_Totaltime,NOR_Day4_5min_per_Nov,NOR_Day4_5min_per_Fam,NOR_Day4_5min_DI,NOR_Day4_5min_Velocity,NOR_Day4_5min_Distance
309_39week,27.735,33.16,60.895,45.5456113,54.4543887,16.1685,6.1595,22.328,72.41356145,27.58643855,0.448271229,26.6755,12.366,39.0415,68.32601206,31.67398794,0.366520241,3.8427,1151.89
310_39week,32.1,22.73,54.83,58.54459238,41.45540762,21.134,9.2545,30.3885,69.54604538,30.45395462,0.390920908,30.4965,18.48,48.9765,62.26761814,37.73238186,0.245352363,2.97236,891.233
311_39week,34.315,21.485,55.8,61.49641577,38.50358423,21.0845,6.2845,27.369,77.03788958,22.96211042,0.540757792,31.9215,12.7635,44.685,71.43672373,28.56327627,0.428734475,3.1365,937.814
312_39week,42.505,24.355,66.86,63.5731379,36.4268621,19.233,21.069,40.302,47.72219741,52.27780259,-0.045556052,32.3345,27.2935,59.628,54.22704099,45.77295901,0.08454082,3.38409,1013.87
313_39week,26.485,14.91,41.395,63.98115714,36.01884286,2.088,2.3785,4.4665,46.74801299,53.25198701,-0.06503974,13.195,6.3325,19.5275,67.5713737,32.4286263,0.351427474,2.44888,734.272
314_39week,37.475,24.245,61.72,60.71775762,39.28224238,14.062,3.989,18.051,77.9015013,22.0984987,0.558030026,21.5905,14.957,36.5475,59.07517614,40.92482386,0.181503523,3.2606,976.745
315_39week,13.375,11.565,24.94,53.6287089,46.3712911,3.35,4.1135,7.4635,44.88510752,55.11489248,-0.10229785,27.036,6.783,33.819,79.94322718,20.05677282,0.598864544,2.77907,830.162
316_39week,37.23,22.145,59.375,62.70315789,37.29684211,9.281,6.448,15.729,59.00565834,40.99434166,0.180113167,19.759,13.5845,33.3435,59.25892603,40.74107397,0.185178521,3.75295,1124.69
317_39week,21.625,19.53,41.155,52.54525574,47.45474426,9.38,6.158,15.538,60.36812975,39.63187025,0.207362595,20.0495,9.5275,29.577,67.78746999,32.21253001,0.3557494,3.89531,1166.41
318_39week,50.37,27.925,78.295,64.33361006,35.66638994,18.527,14.4685,32.9955,56.15008107,43.84991893,0.123001621,27.462,24.9,52.362,52.44643062,47.55356938,0.048928612,3.4008,1017.52
319_39week,52.415,24.76,77.175,67.91707159,32.08292841,33.6225,9.3525,42.975,78.23734729,21.76265271,0.564746946,62.6945,12.537,75.2315,83.33543795,16.66456205,0.666708759,3.77684,1132.3
320_39week,30.185,28.12,58.305,51.77086013,48.22913987,10.575,11.9085,22.4835,47.03449196,52.96550804,-0.059310161,19.272,19.335,38.607,49.91840858,50.08159142,-0.001631828,3.13212,937.757
321_39week,24.985,29.67,54.655,45.71402433,54.28597567,19.9875,11.514,31.5015,63.44935955,36.55064045,0.268987191,37.717,14.022,51.739,72.89858714,27.10141286,0.457971743,3.76921,1129.86
322_39week,27.995,28.89,56.885,49.21332513,50.78667487,15.2225,8.699,23.9215,63.63522354,36.36477646,0.272704471,26.677,18.2225,44.8995,59.41491553,40.58508447,0.188298311,3.76263,1128.19
323_39week,28.22,11.875,40.095,70.38284075,29.61715925,11.073,8.996,20.069,55.17464747,44.82535253,0.103492949,18.782,13.7335,32.5155,57.76322062,42.23677938,0.155264412,3.58788,1073.35
324_39week,36.005,16.02,52.025,69.20711197,30.79288803,16.705,7.616,24.321,68.68549813,31.31450187,0.373709963,32.064,12.0405,44.1045,72.70006462,27.29993538,0.454001292,3.70728,1106.85
325_39week,9.965,6.44,16.405,60.74367571,39.25632429,15.4885,4.255,19.7435,78.44860334,21.55139666,0.568972067,38.2685,9.923,48.1915,79.40923192,20.59076808,0.588184638,3.5615,1065.6
326_39week,28.885,18.89,47.775,60.46049189,39.53950811,35.9195,11.263,47.1825,76.12886134,23.87113866,0.522577227,49.33,18.0415,67.3715,73.22087233,26.77912767,0.464417447,4.5823,1371.39
327_39week,36.98,19.705,56.685,65.23771721,34.76228279,13.345,5.043,18.388,72.57450511,27.42549489,0.451490102,22.326,15.8365,38.1625,58.5024566,41.4975434,0.170049132,4.03617,1206.33
328_39week,22.64,19.88,42.52,53.24553151,46.75446849,17.2495,15.8355,33.085,52.13692005,47.86307995,0.042738401,29.822,26.0795,55.9015,53.3474057,46.6525943,0.066948114,5.2151,1560.98
329_39week,27.645,9.12,36.765,75.19379845,24.80620155,10.3895,11.306,21.6955,47.88781084,52.11218916,-0.042243783,15.0795,18.614,33.6935,44.75492306,55.24507694,-0.104901539,4.57153,1369.45
330_39week,26.28,16.505,42.785,61.42339605,38.57660395,12.9375,15.783,28.7205,45.04622134,54.95377866,-0.099075573,24.823,34.5195,59.3425,41.83005435,58.16994565,-0.163398913,4.43221,1323.81
331_39week,26.395,18.18,44.575,59.21480651,40.78519349,21.621,7.1525,28.7735,75.1420578,24.8579422,0.502841156,33.2165,9.472,42.6885,77.81135435,22.18864565,0.556227087,3.25554,974.708
332_39week,40.785,37.75,78.535,51.9322595,48.0677405,20.2435,16.8725,37.116,54.54116823,45.45883177,0.090823365,31.6635,21.722,53.3855,59.31104888,40.68895112,0.186220978,5.42891,1626.5
333_39week,30.42,17.93,48.35,62.91623578,37.08376422,12.857,12.2185,25.0755,51.27315507,48.72684493,0.025463101,22.673,19.436,42.109,53.84359638,46.15640362,0.076871928,5.244,1566.91
334_39week,18.135,24.955,43.09,42.08633094,57.91366906,9.8255,7.3355,17.161,57.25482198,42.74517802,0.14509644,19.3165,19.945,39.2615,49.19959757,50.80040243,-0.016008049,3.33049,998.613
335_39week,20.57,9.76,30.33,67.82063963,32.17936037,9.134,6.4585,15.5925,58.57944525,41.42055475,0.171588905,24.161,11.384,35.545,67.97299198,32.02700802,0.35945984,4.49777,1348.43
336_39week,36.945,19.73,56.675,65.18747243,34.81252757,15.164,18.9595,34.1235,44.43858338,55.56141662,-0.111228332,27.452,32.1505,59.6025,46.0584707,53.9415293,-0.078830586,4.24228,1270.14
337_39week,36.655,13.05,49.705,73.74509607,26.25490393,18.3425,12.884,31.2265,58.74017261,41.25982739,0.174803452,37.6875,27.15,64.8375,58.12608444,41.87391556,0.162521689,4.99202,1490.22
338_39week,9.51,9.2,18.71,50.82843399,49.17156601,9.7265,5.413,15.1395,64.24584696,35.75415304,0.284916939,11.422,14.4205,25.8425,44.19851021,55.80148979,-0.116029796,3.77477,1131.83
339_39week,33.385,16.64,50.025,66.73663168,33.26336832,11.2225,6.209,17.4315,64.3805754,35.6194246,0.287611508,17.3865,12.9665,30.353,57.28099364,42.71900636,0.145619873,5.07359,1521.27
340_39week,32.65,23.13,55.78,58.53352456,41.46647544,9.981,3.33,13.311,74.98309669,25.01690331,0.499661934,16.964,9.4235,26.3875,64.28801516,35.71198484,0.285760303,4.33406,1299.52
341_39week,24.115,16.655,40.77,59.14888398,40.85111602,15.775,6.9715,22.7465,69.35132878,30.64867122,0.387026576,24.5215,13.765,38.2865,64.04737962,35.95262038,0.280947592,3.84942,1154.06
