Animal_ID,RAWM_D1_Trial 1_Errors,RAWM_D1_Trial 2_Errors,RAWM_D1_Trial 3_Errors,RAWM_D1_Trial 4_Errors,RAWM_D1_Trial 5_Errors,RAWM_D1_Trial 6_Errors,RAWM_D1_Trial1_duration,RAWM_D1_Trial2_duration,RAWM_D1_Trial3_duration,RAWM_D1_Trial4_duration,RAWM_D1_Trial5_duration,RAWM_D1_Trial6_duration,RAWM_D1_Trial1_velocity,RAWM_D1_Trial2_velocity,RAWM_D1_Trial3_velocity,RAWM_D1_Trial4_velocity,RAWM_D1_Trial5_velocity,RAWM_D1_Trial6_velocity,RAWM_D1_Block1_Errors,RAWM_D1_Block1_duration,RAWM_D1_Block1_velocity,RAWM_D1_Block2_Errors,RAWM_D1_Block2_duration,RAWM_D1_Block2_velocity,RAWM_D1_TotAvg_Errors,RAWM_D1_TotAvg_duration,RAWM_D1_TotAvg_velocity
309_42week,5,3,0,1,5,3,29.16,27.28,5.08,5.6,33.88,25,11.2564,8.75279,7.75572,9.12263,11.1521,9.56064,2.666666667,20.50666667,9.25497,3,21.49333333,9.945123333,2.833333333,21,9.600046667
310_42week,8,2,0,6,2,6,39.2,8.28,3.04,37.04,19.6,25.44,17.3617,14.1938,9.41485,13.0921,12.8459,13.431,3.333333333,16.84,13.65678333,4.666666667,27.36,13.123,4,22.1,13.38989167
311_42week,8,3,1,6,4,8,31.16,37.56,9.88,29.56,20.36,31.2,15.3141,11.7635,9.00137,12.6812,13.9274,14.3248,4,26.2,12.02632333,6,27.04,13.64446667,5,26.62,12.835395
312_42week,8,7,2,1,3,3,44.6,31.28,25.36,14.64,15.24,18.32,15.4352,12.7709,10.4095,12.129,11.3527,10.9408,5.666666667,33.74666667,12.87186667,2.333333333,16.06666667,11.47416667,4,24.90666667,12.17301667
313_42week,7,10,7,7,4,0,40.76,40.76,30.24,31.68,19.88,1.72,16.4721,17.1599,13.5536,12.6866,11.0727,9.91631,8,37.25333333,15.72853333,3.666666667,17.76,11.22520333,5.833333333,27.50666667,13.47686833
314_42week,10,8,7,8,4,3,37.52,40.88,42.36,35.12,33.52,26.64,16.4239,15.4698,13.0461,14.1415,9.74396,8.83842,8.333333333,40.25333333,14.97993333,5,31.76,10.90796,6.666666667,36.00666667,12.94394667
315_42week,10,9,2,10,8,3,37.8,38.6,11.96,35.48,38.72,35,18.9051,16.815,11.886,14.7912,14.0867,9.76386,7,29.45333333,15.8687,7,36.4,12.88058667,7,32.92666667,14.37464333
316_42week,2,2,1,8,4,5,13.88,5.12,12.56,40.72,16.6,25.44,15.2312,15.3436,13.0421,18.0647,16.8329,15.8051,1.666666667,10.52,14.53896667,5.666666667,27.58666667,16.9009,3.666666667,19.05333333,15.71993333
317_42week,3,2,2,2,3,4,18.76,14.56,15.16,8.76,18.08,20.92,12.6814,13.5536,13.5462,12.571,13.4352,13.9099,2.333333333,16.16,13.2604,3,15.92,13.30536667,2.666666667,16.04,13.28288333
318_42week,8,0,5,1,8,1,32.76,0.48,20.2,3.4,38.96,6.08,16.8602,13.238,16.5521,18.3494,17.1136,14.8925,4.333333333,17.81333333,15.5501,3.333333333,16.14666667,16.78516667,3.833333333,16.98,16.16763333
319_42week,9,7,1,2,1,0,37.72,33.96,13.68,13.8,3.84,5.8,17.9774,14.0371,10.602,10.8045,10.0179,9.34922,5.666666667,28.45333333,14.2055,1,7.813333333,10.05720667,3.333333333,18.13333333,12.13135333
320_42week,4,6,6,3,2,5,34.52,24.92,40.88,14.44,13.64,14.92,14.4763,16.0748,11.4405,12.7302,11.6192,13.9358,5.333333333,33.44,13.9972,3.333333333,14.33333333,12.76173333,4.333333333,23.88666667,13.37946667
321_42week,3,3,0,0,3,5,12.28,5.12,1.92,32.84,14.08,45.88,14.1673,12.1624,10.1196,7.35421,12.514,10.3036,2,6.44,12.14976667,2.666666667,30.93333333,10.05727,2.333333333,18.68666667,11.10351833
322_42week,8,3,2,7,0,1,41.04,13.48,28.16,34.44,6.28,5,17.2475,17.0145,13.313,16.5265,11.4808,12.095,4.333333333,27.56,15.85833333,2.666666667,15.24,13.36743333,3.5,21.4,14.61288333
323_42week,10,2,0,1,2,4,38.76,7.48,2.92,5.96,10.16,37.08,19.665,13.8508,13.3209,14.2666,16.7798,12.0165,4,16.38666667,15.61223333,2.333333333,17.73333333,14.3543,3.166666667,17.06,14.98326667
324_42week,3,8,2,5,4,2,19.12,34.24,13.4,31.36,27.4,25.76,12.0948,14.8389,11.3845,12.7559,11.341,9.02717,4.333333333,22.25333333,12.77273333,3.666666667,28.17333333,11.04135667,4,25.21333333,11.907045
325_42week,8,7,7,3,1,0,29.64,44,33.76,11.44,23.04,9.04,15.5713,16.509,12.5961,12.8974,8.91188,9.17467,7.333333333,35.8,14.89213333,1.333333333,14.50666667,10.32798333,4.333333333,25.15333333,12.61005833
326_42week,3,7,3,1,6,1,24.32,34.32,14.48,7,24.72,7.72,15.1268,14.8033,14.0107,11.1664,13.7976,11.5751,4.333333333,24.37333333,14.64693333,2.666666667,13.14666667,12.1797,3.5,18.76,13.41331667
327_42week,6,5,6,3,6,3,44.8,40.16,35.16,16,41.28,14.16,14.6812,13.4022,11.8145,12.0145,13.2043,11.2852,5.666666667,40.04,13.2993,4,23.81333333,12.168,4.833333333,31.92666667,12.73365
328_42week,2,9,6,3,7,4,12.28,34.08,44.2,21.08,31.32,30.6,14.8473,17.6012,13.8681,11.4646,12.7111,10.5254,5.666666667,30.18666667,15.43886667,4.666666667,27.66666667,11.56703333,5.166666667,28.92666667,13.50295
329_42week,6,6,5,4,2,1,35.84,14.16,34.8,47.68,31.28,23.96,12.341,10.7556,11.0827,6.67381,6.37573,5.67531,5.666666667,28.26666667,11.3931,2.333333333,34.30666667,6.241616667,4,31.28666667,8.817358333
330_42week,7,5,1,0,4,2,33.72,19.8,6.48,1.24,15.72,8.8,13.9236,12.821,12.8652,11.5536,13.7459,13.2583,4.333333333,20,13.20326667,2,8.586666667,12.8526,3.166666667,14.29333333,13.02793333
331_42week,6,8,4,0,3,1,37.16,30.2,19.84,0.52,12.12,5.08,15.5757,17.1167,12.6817,8.8869,12.5266,11.1029,6,29.06666667,15.1247,1.333333333,5.906666667,10.8388,3.666666667,17.48666667,12.98175
332_42week,8,4,6,0,1,4,37.12,36.16,40.52,4.8,12.88,6.48,14.2712,12.8465,13.2159,9.99123,12.2908,14.8187,6,37.93333333,13.44453333,1.666666667,8.053333333,12.36691,3.833333333,22.99333333,12.90572167
